VALIDATn , Property, Property_1, NORMALIZATn
FULL , STANDARDS, mgKOH, FACTOR
1,6189795310,10.72,1
2,6189795312,6.43,1
3,6189795318,5.94,1
4,6189795319,10.38,1
5,6189795326,6.52,1
6,6189795331,6.74,1
7,6189795332,6.11,1
8,6189797304,6.81,1
9,6189797312,6.78,1
10,6197164302,9.46,1
11,6197164308,9.84,1
12,6197164319,6.24,1
13,6197169333,9.72,1
14,6197171309,10.12,1
15,6197171311,6.14,1
16,6207317308,5.91,1
17,6207317310,9.53,1
18,6207317316,6.62,1
19,6207317326,6,1
20,6207318305,5.29,1
21,6207318309,9.8,1
22,6207318313,3.83,1
23,6207318333,8.8,1
24,6207319310,9.39,1
25,6207319316,5.74,1
26,6207319318,8.44,1
27,6207319322,5.91,1
28,6207319324,6.04,1
29,6207319326,6.63,1
30,6207319332,4.86,1
31,6207319340,9.21,1
32,6207320304,7.5,1
33,6207320306,7.08,1
34,6207320310,4.38,1
35,6207320312,6.71,1
36,6207320316,8.27,1
37,6207320318,8.57,1
38,6207320320,8.9,1
39,6207320322,9.77,1
40,6207320324,4.71,1
41,6207320326,7.87,1
42,6207320328,9.82,1
43,6207320330,5.71,1
44,6207320334,7.81,1
45,6207320336,6.43,1
46,6207320338,6.74,1
47,6207337301,10.56,1
48,6207337307,6.96,1
49,6207337322,4.5,1
50,6207337324,6.36,1
51,6207337326,8.01,1
52,6222590309,9.5,1
53,6222590310,7.56,1
54,6222590317,8.68,1
55,6222590318,7.41,1
56,6222590323,7.51,1
57,6222590324,4.38,1
58,6222590325,7.63,1
59,6245231301,6.92,1
60,6245231302,9.81,1
61,6245231304,7.42,1
62,6245231305,9.86,1
63,6245231308,9.74,1
64,6245231329,6.55,1
65,6245231331,6.81,1
66,6245231332,10.33,1
67,6245231333,10.08,1
68,6245231334,9.23,1
69,6245231336,10.06,1
70,6245231338,10.26,1
71,6245231340,8.47,1
72,6245233333,10.33,1
73,6256388305,9.92,1
74,6256390309,6.24,1
75,6256390310,8.78,1
76,6256390319,9.95,1
77,6256390330,6.3,1
78,6260509307,6.47,1
79,6260509308,5.59,1
80,6260509313,7.89,1
81,6351511324,6.17,1
82,6351511337,5.9,1
83,6351523322,6.06,1
84,7023298332,6.07,1
85,7023301326,5.41,1
86,7023307303,5.03,1
87,7025356304,5.61,1
88,7025356308,6.02,1
89,7025356309,5.8,1
90,7025356310,6.02,1
91,7046722304,4.93,1
92,7046722335,5.22,1
93,7074443340,5.16,1
94,7074445326,5.09,1
95,7074446305,6.46,1
96,7081545306,9.52,1
97,7081545308,7.81,1
98,7081545313,6.87,1
99,7081545320,10.29,1
100,7081545327,3.71,1
101,7081545332,6.18,1
102,7081545335,7.49,1
103,7081545337,6.52,1
104,7081548301,9.76,1
105,7081548306,7.05,1
106,7081548308,10.18,1
107,7081548312,8.17,1
108,7081548322,9.54,1
109,7081548326,5.85,1
110,7095779302,7.49,1
111,7095779306,7.39,1
112,7095779307,6.82,1
113,7095779317,8.99,1
114,7095780319,7.12,1
115,7095780321,5.03,1
