"Number of Samples",      104
"Sample","Analyst","Date","Time","Normalizatn","Version","ID"
"230339","Nelson castro","26-May-2017","10:01:36",1.0,5,2997
"231307","Nelson castro","26-May-2017","10:01:36",1.0,5,2997
"231330","Nelson castro","26-May-2017","10:01:36",1.0,5,2997
"231335","Nelson castro","26-May-2017","10:01:37",1.0,5,2997
"298333","Nelson castro","26-May-2017","10:01:37",1.0,5,2997
"317320","Nelson castro","26-May-2017","10:01:37",1.0,5,2997
"317336","Nelson castro","26-May-2017","10:01:37",1.0,5,2997
"318325","Nelson castro","26-May-2017","10:01:37",1.0,5,2997
"319314","Nelson castro","26-May-2017","10:01:38",1.0,5,2997
"319320","Nelson castro","26-May-2017","10:01:38",1.0,5,2997
"319334","Nelson castro","26-May-2017","10:02:04",1.0,5,2997
"319336","Nelson castro","26-May-2017","10:02:04",1.0,5,2997
"319338","Nelson castro","26-May-2017","10:02:04",1.0,5,2997
"320308","Nelson castro","26-May-2017","10:02:04",1.0,5,2997
"320340","Nelson castro","26-May-2017","10:02:04",1.0,5,2997
"323323","Nelson castro","26-May-2017","10:02:04",1.0,5,2997
"337332","Nelson castro","26-May-2017","10:02:04",1.0,5,2997
"356312","Nelson castro","26-May-2017","10:02:05",1.0,5,2997
"390313","Nelson castro","26-May-2017","10:02:05",1.0,5,2997
"509310","Nelson castro","26-May-2017","10:02:05",1.0,5,2997
"509312","Nelson castro","26-May-2017","10:02:29",1.0,5,2997
"509314","Nelson castro","26-May-2017","10:02:29",1.0,5,2997
"511327","Nelson castro","26-May-2017","10:02:29",1.0,5,2997
"545305","Nelson castro","26-May-2017","10:02:29",1.0,5,2997
"545307","Nelson castro","26-May-2017","10:02:29",1.0,5,2997
"545311","Nelson castro","26-May-2017","10:02:30",1.0,5,2997
"545314","Nelson castro","26-May-2017","10:02:30",1.0,5,2997
"545319","Nelson castro","26-May-2017","10:02:30",1.0,5,2997
"545321","Nelson castro","26-May-2017","10:02:30",1.0,5,2997
"545322","Nelson castro","26-May-2017","10:02:30",1.0,5,2997
"545329","Nelson castro","26-May-2017","10:02:55",1.0,5,2997
"548304","Nelson castro","26-May-2017","10:02:55",1.0,5,2997
