VALIDATn , Property, Property_1, NORMALIZATn
FULL , STANDARDS, mgKOH, FACTOR
1,107336,4.85,1
2,113317,1.56,1
3,125318,3.43,1
4,125322,3.48,1
5,125325,3.1,1
6,125327,2.59,1
7,125328,3.91,1
8,125331,3.72,1
9,125333,3.24,1
10,125334,4.09,1
11,161325,3.19,1
12,161327,3.31,1
13,161330,3.49,1
14,161331,3.45,1
15,163305,3.05,1
16,188321,3.22,1
17,198335,2.12,1
18,198337,2.4,1
19,206332,2.26,1
20,258308,2.78,1
21,258313,4.35,1
22,258315,3.47,1
23,258322,1.9,1
24,258333,3.01,1
25,258334,2.46,1
26,258340,2.18,1
27,287319,3.55,1
28,339307,3.33,1
29,344307,3.92,1
30,418309,3.54,1
31,418315,3.15,1
32,418337,3.5,1
33,419311,3.57,1
34,419313,3.11,1
35,421305,3.33,1
36,421309,4.12,1
37,421314,3.64,1
38,421315,2.76,1
39,421318,2.73,1
40,422301,3.23,1
41,422306,1.82,1
42,422314,3.65,1
43,429338,3.63,1
44,441322,3.08,1
45,441333,3.9,1
46,441334,3.29,1
47,445307,2.33,1
48,445308,3.62,1
49,468302,3.46,1
50,468310,2.82,1
51,468328,3.35,1
52,471326,3.15,1
53,520310,2.31,1
54,521330,3.5,1
55,521334,3.69,1
56,521338,3.75,1
57,521340,3.54,1
58,522316,3.26,1
59,522320,3.45,1
60,522322,3.46,1
61,522328,3.25,1
62,522332,3.64,1
63,525302,3.4,1
64,525305,2.45,1
65,525319,2.95,1
66,525322,3.27,1
67,525323,3.45,1
68,525329,2.47,1
69,597306,3.4,1
70,608303,3.56,1
71,608309,3.57,1
72,608311,3.92,1
73,608316,3.41,1
74,608317,2.04,1
75,608320,3.68,1
76,608325,2.37,1
77,608326,3.38,1
78,608327,4.19,1
79,608333,2.49,1
80,608335,4.68,1
81,608336,4.42,1
82,615302,2.8,1
83,615303,3.04,1
84,615307,2.69,1
85,615311,3.08,1
86,615318,3.02,1
87,615320,3.23,1
88,615321,2.24,1
89,615325,1.46,1
90,615328,3.14,1
91,615335,2.82,1
92,615337,2.83,1
93,620321,3.32,1
94,620326,4.41,1
95,620330,3.66,1
96,620334,3.18,1
97,622322,2.65,1
98,622329,2.89,1
99,625305,4,1
100,655328,3.19,1
101,655330,2.49,1
102,655332,2.21,1
103,655333,3.35,1
104,656307,3.8,1
105,656309,3.91,1
106,656310,4.35,1
107,656312,3.68,1
108,656313,3.9,1
109,656316,3.66,1
110,716323,3.05,1
111,719303,3.25,1
112,719306,3.34,1
113,719309,4.09,1
114,719315,3.05,1
115,725331,4.06,1
116,725332,3.02,1
117,725335,3.01,1
118,726308,1.77,1
119,726309,3.19,1
120,726315,2.92,1
121,726328,1.83,1
122,726329,2.34,1
123,726332,3.64,1
124,726334,2.33,1
125,736339,2.59,1
126,740326,1.71,1
127,748307,3.1,1
128,748309,3.25,1
129,748317,2.67,1
130,748318,1.59,1
131,748319,3.7,1
132,748321,3.24,1
133,748326,3.02,1
134,748331,2.78,1
135,748334,2.9,1
136,748335,2.99,1
137,749301,3.7,1
138,749302,3.45,1
139,749309,1.98,1
140,749329,3.11,1
141,775333,2.61,1
142,777323,2.95,1
143,777328,3.3,1
144,777335,2.3,1
145,784331,4.2,1
146,792307,3.55,1
147,792308,2.87,1
148,792316,2.97,1
149,793327,3.22,1
150,793336,3.08,1
151,793338,3.16,1
152,795304,2.82,1
153,795306,3.4,1
154,795313,3.57,1
155,795314,4.8,1
156,795316,3.56,1
157,795318,2.17,1
158,795321,3.48,1
159,798325,3.07,1
160,804331,3.46,1
161,804339,3.28,1
162,804340,3.36,1
163,805317,4.14,1
164,834329,4.15,1
165,837302,2.44,1
166,840333,3.5,1
167,844312,3.99,1
168,844332,3.05,1
169,844334,2.7,1
170,844335,3.08,1
